# Reject Code Mapping
# Generated by Nathaniel Frissell, nathaniel.frissell@scranton.edu
#
# reject_code Explanations:
#   0: Good Period (Not Rejected)
#   1: High Terminator Fraction (Dawn/Dusk in Observational Window
#   2: No Data
#   3: Poor Data Quality (including "Low RTI Fraction" and "Failed Quality Check")
#   4: Other (including "No RTI Fraction" and "No Terminator Fraction")
#
reject_from_mstid_2016,reject_to_fitexfilter,count
0,0,3837
0,1,12
0,2,0
0,3,2
0,4,2
1,0,82
1,1,3806
1,2,0
1,3,17
1,4,2
2,0,0
2,1,1
2,2,210
2,3,66
2,4,0
3,0,1558
3,1,205
3,2,0
3,3,1059
3,4,0
4,0,0
4,1,0
4,2,0
4,3,0
4,4,0
