# MERRA2 Outputs for Comparison with SupDARN MSTID Index
# MERRA2 Run V. Lynn Harvey
# Data re-processed by Nathaniel Frissell, nathaniel.frissell@scranton.edu
#
# radar: cve
# lat: 46.4
# lon: -114.6
# season: 20101101_20110501
#
datetime_ut,U_10HPA,U_1HPA
2010-11-01 00:00:00,-1.1220485,22.21475
2010-11-01 02:00:00,-1.7052995,19.247377
2010-11-01 04:00:00,-2.2885506,16.280006
2010-11-01 06:00:00,-2.8718016,13.3126335
2010-11-01 08:00:00,-2.6972415,11.4321
2010-11-01 10:00:00,-2.5226812,9.551567
2010-11-01 12:00:00,-2.3481212,7.6710334
2010-11-01 14:00:00,-1.9207006,6.993813
2010-11-01 16:00:00,-1.4932799,6.316593
2010-11-01 18:00:00,-1.0658593,5.639373
2010-11-01 20:00:00,-1.6017061,6.703238
2010-11-01 22:00:00,-2.137553,7.7671027
2010-11-02 00:00:00,-2.6734,8.830968
2010-11-02 02:00:00,-2.640985,7.2404456
2010-11-02 04:00:00,-2.6085703,5.6499233
2010-11-02 06:00:00,-2.5761554,4.059401
2010-11-02 08:00:00,-3.0896118,-0.7066056
2010-11-02 10:00:00,-3.6030679,-5.4726124
2010-11-02 12:00:00,-4.116524,-10.238619
2010-11-02 14:00:00,-4.488132,-9.7981615
2010-11-02 16:00:00,-4.8597403,-9.357705
2010-11-02 18:00:00,-5.231348,-8.917248
2010-11-02 20:00:00,-5.019261,-7.6212587
2010-11-02 22:00:00,-4.807174,-6.3252697
2010-11-03 00:00:00,-4.595087,-5.0292807
2010-11-03 02:00:00,-5.7070637,-4.2222157
2010-11-03 04:00:00,-6.819041,-3.4151504
2010-11-03 06:00:00,-7.9310174,-2.6080852
2010-11-03 08:00:00,-7.461522,-3.009505
2010-11-03 10:00:00,-6.9920263,-3.410925
2010-11-03 12:00:00,-6.522531,-3.8123448
2010-11-03 14:00:00,-6.4405713,-5.3878317
2010-11-03 16:00:00,-6.358611,-6.963319
2010-11-03 18:00:00,-6.2766514,-8.538806
2010-11-03 20:00:00,-6.527984,-6.331483
2010-11-03 22:00:00,-6.779317,-4.1241603
2010-11-04 00:00:00,-7.0306497,-1.9168375
2010-11-04 02:00:00,-7.6197405,-3.2795422
2010-11-04 04:00:00,-8.208832,-4.642247
2010-11-04 06:00:00,-8.797922,-6.004952
2010-11-04 08:00:00,-9.078739,-7.4061275
2010-11-04 10:00:00,-9.359557,-8.807302
2010-11-04 12:00:00,-9.640374,-10.208478
2010-11-04 14:00:00,-10.144816,-9.101545
