# NASA OMNI Data for Comparison with SuperDARN MSTID Index
# Data re-processed by Nathaniel Frissell, nathaniel.frissell@scranton.edu
#
# radar: fhw
# lat: 43.3
# lon: -102.7
# season: 20131101_20140501
#
datetime_ut,OMNI_R_Sunspot_Number,OMNI_Dst,OMNI_F10.7,OMNI_AE
2013-11-01 00:00:00,106.0,-29.0,144.2,128.5
2013-11-01 02:00:00,106.0,-26.5,144.2,305.0
2013-11-01 04:00:00,106.0,-28.5,144.2,225.0
2013-11-01 06:00:00,106.0,-29.0,144.2,139.0
2013-11-01 08:00:00,106.0,-31.5,144.2,203.5
2013-11-01 10:00:00,106.0,-26.5,144.2,178.5
2013-11-01 12:00:00,106.0,-22.0,144.2,211.5
2013-11-01 14:00:00,106.0,-21.5,144.2,151.0
2013-11-01 16:00:00,106.0,-15.0,144.2,44.0
2013-11-01 18:00:00,106.0,-16.5,144.2,196.5
2013-11-01 20:00:00,106.0,-17.5,144.2,83.5
2013-11-01 22:00:00,106.0,-11.5,144.2,42.5
2013-11-02 00:00:00,101.0,-12.5,139.4,69.0
2013-11-02 02:00:00,101.0,-12.0,139.4,44.5
2013-11-02 04:00:00,101.0,-12.0,139.4,102.0
2013-11-02 06:00:00,101.0,-13.0,139.4,102.5
2013-11-02 08:00:00,101.0,-11.5,139.4,51.5
2013-11-02 10:00:00,101.0,-2.0,139.4,72.0
2013-11-02 12:00:00,101.0,-0.5,139.4,39.0
2013-11-02 14:00:00,101.0,-5.0,139.4,30.0
2013-11-02 16:00:00,101.0,-4.0,139.4,94.5
2013-11-02 18:00:00,101.0,-2.5,139.4,33.5
2013-11-02 20:00:00,101.0,-5.5,139.4,48.5
2013-11-02 22:00:00,101.0,-8.5,139.4,167.0
2013-11-03 00:00:00,123.0,-12.5,141.1,129.0
2013-11-03 02:00:00,123.0,-11.5,141.1,142.5
2013-11-03 04:00:00,123.0,-16.0,141.1,172.5
2013-11-03 06:00:00,123.0,-18.5,141.1,228.5
2013-11-03 08:00:00,123.0,-15.5,141.1,87.0
