# SuperDARN MSTID Index Datafile - Reduced Index
# Generated by Nathaniel Frissell, nathaniel.frissell@scranton.edu
# Generated on: 2023-04-22 21:24:00.666157 UTC
#
# Parameter: reject_code_reducedIndex
#
# Original Attributes:
# {'season': '20121101_20130501', 'radar': 'pgr', 'lat': 58.0, 'lon': -123.5}
# {'season': '20121101_20130501', 'radar': 'sas', 'lat': 56.1, 'lon': -103.8}
# {'season': '20121101_20130501', 'radar': 'kap', 'lat': 55.5, 'lon': -85.0}
# {'season': '20121101_20130501', 'radar': 'gbr', 'lat': 58.4, 'lon': -59.9}
# {'season': '20121101_20130501', 'radar': 'cvw', 'lat': 47.9, 'lon': -123.4}
# {'season': '20121101_20130501', 'radar': 'cve', 'lat': 46.4, 'lon': -114.6}
# {'season': '20121101_20130501', 'radar': 'fhw', 'lat': 43.3, 'lon': -102.7}
# {'season': '20121101_20130501', 'radar': 'fhe', 'lat': 42.5, 'lon': -95.0}
# {'season': '20121101_20130501', 'radar': 'bks', 'lat': 39.6, 'lon': -81.1}
# {'season': '20121101_20130501', 'radar': 'wal', 'lat': 41.8, 'lon': -72.2}
#
# Reduction Attributes:
# ('reduction_type', 'mean')
# ('zscore', True)
# ('daily_vals', True)
# ('smoothing_window', '4D')
# ('smoothing_type', 'mean')
#
,reduced_index,n_good_df,smoothed
2012-11-01,2.6278549252398204,60,0.9522029603239175
2012-11-02,0.265791312045114,60,0.7200343145825574
2012-11-03,-0.03703735631318188,60,0.053811244194306836
2012-11-04,0.023528377358477064,60,0.008386943940562427
2012-11-05,-0.03703735631318188,60,0.3414984791346879
2012-11-06,0.0840941110301364,60,0.49291281331383585
2012-11-07,1.29540878446332,60,0.7503171814183872
2012-11-08,0.6291857140750688,60,0.7200343145825576
2012-11-09,0.9925801161050237,60,0.3869227793884321
2012-11-10,-0.03703735631318228,60,0.08409411103013631
2012-11-11,-0.03703735631318188,60,-0.037037356313182085
2012-11-12,-0.5821289593581144,60,0.06895267761222156
2012-11-13,0.5080542467317501,60,-0.08246165656692628
2012-11-14,0.3869227793884323,60,-0.09760308998484099
2012-11-15,-0.6426946930297732,60,-0.3095831578356479
2012-11-16,-0.6426946930297732,60,-0.5367046591043696
2012-11-17,-0.33986602467147736,60,-0.5367046591043696
2012-11-18,-0.521563225686455,60,-0.35500745808939216
2012-11-19,-0.6426946930297732,60,-0.4367711985461321
2012-11-20,0.08409411103013681,60,-0.42162976512821737
2012-11-21,-0.6669209864984371,59,-0.36106403145655824
2012-11-22,-0.46099749201479606,60,-0.451912631964047
2012-11-23,-0.4004317583431367,60,-0.3701488915073071
2012-11-24,-0.27930029099981846,60,-0.35500745808939227
